moradia_classe;moradia_zoneamento;rua_tipo;lote_formato;terreno_contorno;utilidades;lote_config;terreno_declive;vizinhanca;condicao_1;condicao_2;geral_qualidade;geral_condicao;telhado_estilo;telhado_material;exterior_cobertura_1;alvenaria_tipo;exterior_qualidade;exterior_condicao;fundacao_tipo;porao_num_banheiros_lavabos;aquecimento_tipo;aquecimento_qualidade_condicao;ar_condicionado_central;sistema_eletrico_tipo;acima_solo_num_cozinhas;cozinha_qualidade;funcional;entrada_veiculo_pavimentada;venda_tipo;lote_area;construcao_ano;remodelacao_ano;alvenaria_area;porao_area_com_acabamento_1;porao_area_com_acabamento_2;porao_area_sem_acabamento;porao_num_banheiros;primeiro_andar_area;segundo_andar_area;acima_solo_num_banheiros;acima_solo_num_lavabos;acima_solo_num_quartos;acima_solo_num_comodos;total_num_lareiras;garagem_capacidade_carros;deck_madeira_area;varanda_aberta_area;varanda_fechada_area;venda_mes;venda_ano;venda_valor
Outros;Residencial baixa densidade;pavimentada;regular;aproximadamente plana/nivelada;todas as utilidades p\u00fablicas;lote interno;declive leve;Northwest Ames;normal;normal;boa;acima da média;duas águas;telha padrão (composto);madeirra compensada;face de tijolo;m\u00e9dia;média;bloco de concreto;0;forno de ar quente a gás;média;Y;disjuntores padrão e Romex;1;boa;funcionalidade típica;Y;WD;10625;1974;1974;81;885;168;0;1;1173;0;2;0;3;6;2;2;0;120;0;1;2010;170000
060;Residencial vila flutuante;pavimentada;regular;aproximadamente plana/nivelada;todas as utilidades p\u00fablicas;lote interno;declive leve;Somerset;normal;normal;boa;média;duas águas;telha padrão (composto);tapume de vinil;nenhum;boa;média;concreto derrramado;0;forno de ar quente a gás;excelente;Y;disjuntores padrão e Romex;1;boa;funcionalidade típica;Y;WD;7500;2000;2000;0;533;0;281;1;814;860;2;1;3;7;0;2;0;96;0;1;2010;216000
020;Residencial baixa densidade;pavimentada;levemente irregular;aproximadamente plana/nivelada;todas as utilidades p\u00fablicas;rua sem saída;declive leve;NAmes;normal;normal;acima da média;boa;duas águas;telha padrão (composto);tapume de madeira;face de tijolo;m\u00e9dia;média;bloco de concreto;0;forno de ar quente a gás;excelente;Y;disjuntores padrão e Romex;1;média;funcionalidade típica;Y;WD;11241;1970;1970;180;578;0;426;1;1004;0;1;0;2;5;1;2;0;0;0;3;2010;149000
020;Residencial baixa densidade;pavimentada;levemente irregular;aproximadamente plana/nivelada;todas as utilidades p\u00fablicas;rua sem saída;declive leve;NAmes;normal;normal;média;acima da média;duas águas;telha padrão (composto);tapume de vinil;nenhum;m\u00e9dia;média;bloco de concreto;0;forno de ar quente a gás;excelente;Y;disjuntores padrão e Romex;1;média;funcionalidade típica;Y;WD;12537;1971;2008;0;734;0;344;1;1078;0;1;1;3;6;1;2;0;0;0;4;2010;149900
020;Residencial baixa densidade;pavimentada;regular;aproximadamente plana/nivelada;todas as utilidades p\u00fablicas;lote interno;declive leve;NAmes;normal;normal;média;acima da média;duas águas;telha padrão (composto);tapume de vinil;nenhum;m\u00e9dia;média;bloco de concreto;0;forno de ar quente a gás;excelente;Y;disjuntores padrão e Romex;1;média;funcionalidade típica;Y;WD;8450;1968;1968;0;775;0;281;1;1056;0;1;0;3;6;1;1;0;85;184;7;2010;142000
020;Residencial baixa densidade;pavimentada;regular;aproximadamente plana/nivelada;todas as utilidades p\u00fablicas;lote de esquina;declive leve;NAmes;normal;normal;abaixo da média;média;duas águas;telha padrão (composto);madeirra compensada;nenhum;m\u00e9dia;média;bloco de concreto;0;forno de ar quente a gás;média;Y;disjuntores padrão e Romex;1;média;funcionalidade típica;Y;WD;8400;1970;1970;0;804;78;0;1;882;0;1;0;2;4;0;2;240;0;0;4;2010;126000
020;Residencial baixa densidade;pavimentada;regular;aproximadamente plana/nivelada;todas as utilidades p\u00fablicas;Outros;declive leve;NAmes;normal;normal;abaixo da média;média;duas águas;telha padrão (composto);placa dura;nenhum;m\u00e9dia;média;bloco de concreto;0;forno de ar quente a gás;média;Y;disjuntores padrão e Romex;1;média;funcionalidade típica;Y;Outros;10500;1971;1971;0;432;0;432;0;864;0;1;0;3;5;1;0;0;0;0;4;2010;115000
desenvolvimento de unidade planejada de 1 andar (1946 e mais novas, todos os estilos);Outros;pavimentada;levemente irregular;aproximadamente plana/nivelada;todas as utilidades p\u00fablicas;Outros;declive leve;NAmes;normal;normal;boa;média;duas águas;telha padrão (composto);tapume de metal;nenhum;boa;média;concreto derrramado;0;forno de ar quente a gás;excelente;Y;disjuntores padrão e Romex;1;boa;funcionalidade típica;Y;WD;5858;1999;1999;0;1051;0;354;1;1337;0;2;0;2;5;1;2;203;68;0;6;2010;184000
desenvolvimento de unidade planejada (PUD) de 2 andares (1946 e mais novas);Residencial média densidade;pavimentada;regular;aproximadamente plana/nivelada;todas as utilidades p\u00fablicas;lote interno;declive leve;Outros;normal;normal;acima da média;média;duas águas;telha padrão (composto);placa dura;face de tijolo;m\u00e9dia;média;bloco de concreto;0;forno de ar quente a gás;média;Y;disjuntores padrão e Romex;1;média;funcionalidade típica;Y;Outros;1680;1971;1971;504;156;0;327;0;483;504;1;1;2;5;0;1;275;0;0;2;2010;96000
desenvolvimento de unidade planejada (PUD) de 2 andares (1946 e mais novas);Residencial média densidade;pavimentada;regular;aproximadamente plana/nivelada;todas as utilidades p\u00fablicas;lote interno;declive leve;Outros;normal;normal;média;média;duas águas;telha padrão (composto);placa dura;face de tijolo;m\u00e9dia;média;bloco de concreto;0;forno de ar quente a gás;média;Y;disjuntores padrão e Romex;1;média;funcionalidade típica;Y;WD;1680;1971;1971;492;300;0;225;0;525;567;1;1;3;6;0;1;0;0;0;3;2010;105500
desenvolvimento de unidade planejada (PUD) de 2 andares (1946 e mais novas);Residencial média densidade;pavimentada;regular;aproximadamente plana/nivelada;todas as utilidades p\u00fablicas;lote interno;declive leve;Outros;normal;normal;acima da média;média;duas águas;telha padrão (composto);placa dura;face de tijolo;m\u00e9dia;média;bloco de concreto;0;forno de ar quente a gás;média;Y;disjuntores padrão e Romex;1;média;funcionalidade típica;Y;WD;1680;1971;1971;381;0;0;525;0;525;567;1;1;3;6;0;1;0;0;0;3;2010;88000
desenvolvimento de unidade planejada de 1 andar (1946 e mais novas, todos os estilos);Residencial baixa densidade;pavimentada;regular;aproximadamente plana/nivelada;todas as utilidades p\u00fablicas;lote interno;declive leve;Outros;normal;normal;acima da média;média;duas águas;telha padrão (composto);madeirra compensada;nenhum;m\u00e9dia;média;bloco de concreto;0;forno de ar quente a gás;média;Y;disjuntores padrão e Romex;1;média;funcionalidade típica;Y;WD;4043;1977;1977;0;360;0;709;0;1069;0;2;0;2;4;1;2;0;55;0;7;2010;127500
desenvolvimento de unidade planejada (PUD) de 2 andares (1946 e mais novas);Residencial baixa densidade;pavimentada;regular;aproximadamente plana/nivelada;todas as utilidades p\u00fablicas;Outros;declive leve;Outros;normal;normal;acima da média;acima da média;duas águas;telha padrão (composto);madeirra compensada;nenhum;m\u00e9dia;média;bloco de concreto;0;forno de ar quente a gás;média;Y;disjuntores padrão e Romex;1;boa;funcionalidade típica;Y;WD;2280;1975;1975;0;514;0;341;0;855;601;2;1;3;6;1;2;173;0;0;6;2010;149900
desenvolvimento de unidade planejada de 1 andar (1946 e mais novas, todos os estilos);Residencial baixa densidade;pavimentada;regular;aproximadamente plana/nivelada;todas as utilidades p\u00fablicas;Outros;declive leve;Outros;normal;normal;boa;acima da média;duas águas;telha padrão (composto);madeirra compensada;nenhum;m\u00e9dia;média;bloco de concreto;0;forno de ar quente a gás;excelente;Y;disjuntores padrão e Romex;1;média;funcionalidade típica;Y;WD;2280;1975;1975;0;0;0;836;0;836;0;1;0;2;4;0;1;0;30;0;6;2010;120000
desenvolvimento de unidade planejada (PUD) de 2 andares (1946 e mais novas);Residencial baixa densidade;pavimentada;regular;aproximadamente plana/nivelada;todas as utilidades p\u00fablicas;lote interno;declive leve;Outros;normal;normal;acima da média;média;duas águas;telha padrão (composto);madeirra compensada;nenhum;m\u00e9dia;média;bloco de concreto;0;forno de ar quente a gás;regular;Y;disjuntores padrão e Romex;1;média;funcionalidade típica;Y;WD;2280;1978;1978;0;311;0;544;0;855;601;2;1;3;7;1;2;26;0;0;7;2010;146000
060;Residencial baixa densidade;pavimentada;levemente irregular;aproximadamente plana/nivelada;todas as utilidades p\u00fablicas;lote interno;declive leve;Northridge Heights;normal;normal;excelente;média;duas águas;telha padrão (composto);tapume de vinil;pedra;excelente;média;concreto derrramado;0;forno de ar quente a gás;excelente;Y;disjuntores padrão e Romex;1;excelente;funcionalidade típica;Y;casa recém-construída e vendida;12858;2009;2010;162;0;0;1590;0;1627;707;2;1;3;10;1;3;144;133;0;1;2010;376162
020;Residencial baixa densidade;pavimentada;regular;aproximadamente plana/nivelada;todas as utilidades p\u00fablicas;lote interno;declive leve;Northridge Heights;normal;normal;muito boa;média;duas águas;telha padrão (composto);tapume de vinil;pedra;boa;média;concreto derrramado;0;forno de ar quente a gás;excelente;Y;disjuntores padrão e Romex;1;boa;funcionalidade típica;Y;WD;11478;2007;2008;200;1218;0;486;1;1704;0;2;0;3;7;1;3;0;50;0;5;2010;306000
020;Residencial baixa densidade;pavimentada;levemente irregular;aproximadamente plana/nivelada;todas as utilidades p\u00fablicas;lote interno;declive leve;Northridge Heights;normal;normal;excelente;média;quadril;telha padrão (composto);tapume de vinil;pedra;excelente;média;concreto derrramado;0;forno de ar quente a gás;excelente;Y;disjuntores padrão e Romex;1;excelente;funcionalidade típica;Y;casa recém-construída e vendida;10159;2009;2010;450;1646;0;284;1;1940;0;2;1;3;8;1;3;168;95;0;4;2010;395192
020;Residencial baixa densidade;pavimentada;levemente irregular;aproximadamente plana/nivelada;todas as utilidades p\u00fablicas;lote de esquina;declive leve;Northridge Heights;normal;normal;muito boa;média;duas águas;telha padrão (composto);tapume de vinil;pedra;boa;média;concreto derrramado;0;forno de ar quente a gás;excelente;Y;disjuntores padrão e Romex;1;boa;funcionalidade típica;Y;casa recém-construída e vendida;12883;2009;2010;256;0;0;1544;0;1544;0;2;0;3;7;0;3;0;35;0;6;2010;290941
020;Residencial baixa densidade;pavimentada;regular;aproximadamente plana/nivelada;todas as utilidades p\u00fablicas;lote de esquina;declive leve;Northridge Heights;normal;normal;boa;média;duas águas;telha padrão (composto);tapume de vinil;face de tijolo;boa;média;concreto derrramado;0;forno de ar quente a gás;excelente;Y;disjuntores padrão e Romex;1;boa;funcionalidade típica;Y;casa recém-construída e vendida;12182;2005;2005;226;1201;0;340;0;1541;0;2;0;3;7;1;2;0;70;0;5;2010;220000
020;Residencial baixa densidade;pavimentada;regular;aproximadamente plana/nivelada;todas as utilidades p\u00fablicas;lote interno;declive leve;Northridge Heights;Outros;normal;excelente;média;quadril;telha padrão (composto);tapume de vinil;face de tijolo;boa;média;concreto derrramado;0;forno de ar quente a gás;excelente;Y;disjuntores padrão e Romex;1;excelente;funcionalidade típica;Y;WD;11520;2005;2005;615;110;0;1588;0;1698;0;2;0;3;7;1;3;192;74;0;6;2010;275000
020;Residencial baixa densidade;pavimentada;levemente irregular;aproximadamente plana/nivelada;todas as utilidades p\u00fablicas;lote interno;declive leve;Northridge Heights;normal;normal;muito boa;média;quadril;telha padrão (composto);placa de cimento;face de tijolo;boa;média;concreto derrramado;0;forno de ar quente a gás;excelente;Y;disjuntores padrão e Romex;1;excelente;funcionalidade típica;Y;WD;14122;2005;2006;240;28;0;1794;0;1822;0;2;0;3;8;1;3;0;119;0;2;2010;259000
020;Residencial baixa densidade;pavimentada;levemente irregular;aproximadamente plana/nivelada;todas as utilidades p\u00fablicas;lote interno;declive leve;Northridge Heights;normal;normal;boa;média;duas águas;telha padrão (composto);tapume de vinil;face de tijolo;boa;média;concreto derrramado;0;forno de ar quente a gás;excelente;Y;disjuntores padrão e Romex;1;boa;funcionalidade típica;Y;WD;10171;2004;2004;168;2;0;1515;0;1535;0;2;0;3;7;0;2;0;0;0;3;2010;214000
020;Residencial baixa densidade;pavimentada;levemente irregular;aproximadamente plana/nivelada;todas as utilidades p\u00fablicas;lote interno;declive leve;Northridge Heights;normal;normal;excelente;média;quadril;telha padrão (composto);tapume de vinil;pedra;excelente;média;concreto derrramado;0;forno de ar quente a gás;excelente;Y;disjuntores padrão e Romex;1;excelente;funcionalidade típica;Y;casa recém-construída e vendida;12919;2009;2010;760;2188;0;142;1;2364;0;2;1;2;11;2;3;0;67;0;3;2010;611657
desenvolvimento de unidade planejada de 1 andar (1946 e mais novas, todos os estilos);Residencial baixa densidade;pavimentada;levemente irregular;aproximadamente plana/nivelada;todas as utilidades p\u00fablicas;lote interno;declive leve;Northridge Heights;normal;normal;boa;média;duas águas;telha padrão (composto);tapume de vinil;pedra;boa;média;concreto derrramado;0;forno de ar quente a gás;excelente;Y;disjuntores padrão e Romex;1;boa;funcionalidade típica;Y;casa recém-construída e vendida;6371;2009;2010;128;733;0;625;1;1358;0;2;0;2;6;1;2;192;35;0;6;2010;224000
020;Residencial baixa densidade;pavimentada;regular;encosta;todas as utilidades p\u00fablicas;lote interno;declive moderado;Northridge Heights;normal;normal;excelente;média;quadril;telha padrão (composto);tapume de vinil;face de tijolo;excelente;média;concreto derrramado;0;forno de ar quente a gás;excelente;Y;disjuntores padrão e Romex;1;excelente;funcionalidade típica;Y;WD;14300;2003;2004;1095;1373;0;1473;1;2696;0;2;1;3;10;2;3;220;150;0;6;2010;5e+05
060;Residencial baixa densidade;pavimentada;regular;aproximadamente plana/nivelada;todas as utilidades p\u00fablicas;lote de esquina;declive leve;Northridge Heights;normal;normal;muito boa;média;duas águas;telha padrão (composto);tapume de vinil;face de tijolo;boa;média;concreto derrramado;0;forno de ar quente a gás;excelente;Y;disjuntores padrão e Romex;1;boa;funcionalidade típica;Y;WD;13650;2002;2002;232;578;0;1093;1;1687;563;2;1;3;7;1;3;238;130;0;6;2010;320000
desenvolvimento de unidade planejada de 1 andar (1946 e mais novas, todos os estilos);Residencial baixa densidade;pavimentada;regular;aproximadamente plana/nivelada;todas as utilidades p\u00fablicas;lote interno;declive leve;Northridge Heights;normal;normal;excelente;média;quadril;telha padrão (composto);tapume de metal;face de tijolo;excelente;média;concreto derrramado;0;forno de ar quente a gás;excelente;Y;disjuntores padrão e Romex;1;excelente;funcionalidade típica;Y;WD;7658;2005;2005;412;456;0;1296;1;1752;0;2;0;2;6;1;2;196;82;0;2;2010;319900
desenvolvimento de unidade planejada de 1 andar (1946 e mais novas, todos os estilos);Residencial baixa densidade;pavimentada;levemente irregular;aproximadamente plana/nivelada;todas as utilidades p\u00fablicas;lote interno;declive leve;Northridge Heights;normal;normal;muito boa;média;duas águas;telha padrão (composto);tapume de vinil;pedra;boa;média;concreto derrramado;0;forno de ar quente a gás;excelente;Y;disjuntores padrão e Romex;1;boa;funcionalidade típica;Y;WD;7132;2006;2006;178;24;0;1346;0;1370;0;2;0;2;6;1;2;120;49;0;4;2010;205000
desenvolvimento de unidade planejada (PUD) de 2 andares (1946 e mais novas);Residencial baixa densidade;pavimentada;regular;aproximadamente plana/nivelada;todas as utilidades p\u00fablicas;lote interno;declive leve;Northridge Heights;normal;normal;boa;média;duas águas;telha padrão (composto);tapume de vinil;pedra;boa;média;concreto derrramado;0;forno de ar quente a gás;excelente;Y;disjuntores padrão e Romex;1;boa;funcionalidade típica;Y;WD;2628;2003;2003;106;0;0;764;0;764;862;2;1;2;6;0;2;0;27;0;6;2010;175500
020;Residencial baixa densidade;pavimentada;levemente irregular;aproximadamente plana/nivelada;todas as utilidades p\u00fablicas;lote de esquina;declive leve;Gilbert;normal;normal;acima da média;média;duas águas;telha padrão (composto);tapume de vinil;nenhum;boa;média;concreto derrramado;0;forno de ar quente a gás;excelente;Y;disjuntores padrão e Romex;1;boa;funcionalidade típica;Y;WD;18494;2005;2005;0;0;0;1324;0;1324;0;2;0;3;6;0;2;36;23;0;1;2010;199500
desenvolvimento de unidade planejada de 1 andar (1946 e mais novas, todos os estilos);Residencial baixa densidade;pavimentada;regular;aproximadamente plana/nivelada;todas as utilidades p\u00fablicas;lote interno;declive leve;Outros;normal;normal;boa;média;duas águas;telha padrão (composto);tapume de vinil;face de tijolo;boa;média;concreto derrramado;0;forno de ar quente a gás;excelente;Y;disjuntores padrão e Romex;1;boa;funcionalidade típica;Y;WD;3203;2006;2006;14;16;0;1129;0;1145;0;2;0;2;6;0;2;100;116;0;1;2010;160000
desenvolvimento de unidade planejada de 1 andar (1946 e mais novas, todos os estilos);Residencial baixa densidade;pavimentada;regular;aproximadamente plana/nivelada;todas as utilidades p\u00fablicas;lote interno;declive leve;Outros;normal;normal;muito boa;média;duas águas;telha padrão (composto);tapume de vinil;face de tijolo;boa;média;concreto derrramado;0;forno de ar quente a gás;excelente;Y;disjuntores padrão e Romex;1;boa;funcionalidade típica;Y;WD;3182;2004;2005;16;24;0;1232;0;1269;0;2;0;2;6;1;2;146;20;0;4;2010;192000
